GET http://127.0.0.1/ name=http://127.0.0.1/ type=serv linked=yes browsers=0 browser_used=FAST dup=0 code=200 len=1440 notes=8 sig=0x8c2cb8c4
GET http://127.0.0.1/0/ name=0 type=dir linked=no browsers=7 browser_used=FAST dup=0 returns_404 code=404 len=319 notes=1 sig=0xc634abbe
GET http://127.0.0.1/0/ name=0 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=319 notes=1 sig=0xc634abbe
GET http://127.0.0.1/0/ name=0 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=319 notes=1 sig=0xc634abbe
GET http://127.0.0.1/0/ name=0 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=319 notes=1 sig=0xc634abbe
GET http://127.0.0.1/09/ name=09 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://127.0.0.1/09/ name=09 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://127.0.0.1/09/ name=09 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://127.0.0.1/09/ name=09 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=320 notes=1 sig=0xc634abbe
GET http://127.0.0.1/101/ name=101 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=321 notes=1 sig=0xc634abbe
GET http://127.0.0.1/101/ name=101 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=321 notes=1 sig=0xc634abbe
GET http://127.0.0.1/101/ name=101 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=321 notes=1 sig=0xc634abbe
GET http://127.0.0.1/101/ name=101 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=321 notes=1 sig=0xc634abbe
GET http://127.0.0.1/1998/ name=1998 type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/1998/ name=1998 type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/1998/ name=1998 type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/1998/ name=1998 type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/_www/ name=_www type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/_www/ name=_www type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/_www/ name=_www type=dir linked=yes browsers=5 browser_used=FFOX dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/_www/ name=_www type=dir linked=yes browsers=3 browser_used=PHONE dup=1 returns_404 code=404 len=322 notes=1 sig=0xc634abbe
GET http://127.0.0.1/accounting/ name=accounting type=dir linked=no browsers=7 browser_used=FAST dup=1 returns_404 code=404 len=328 notes=1 sig=0xc634abbe
GET http://127.0.0.1/accounting/ name=accounting type=dir linked=yes browsers=6 browser_used=MSIE dup=1 returns_404 code=404 len=328 notes=1 sig=0xc634abbe
